unit_id,book_id,charge,count_comment,date,letter,purchase,rate_change_purchase,rate_change_purchase_five,rate_change_purchase_five_avg,rate_change_recommendation_five,rate_change_recommendation_five_avg,recommendation,serial,sub_title,target,version
28,0,유료,4,2021.09.07,12,76,-0.09523809523809523,-0.9958310477235326,-0.29698070635541035,-0.038461538461538464,-0.009395914175383038,275,29,라이벌 혹은 파트너,True,1
29,0,유료,4,2021.09.09,13,75,-0.013157894736842105,-0.1935483870967742,-0.05154555030840859,-0.043795620437956206,-0.010724585504054368,262,30,현지 전문가,True,1
30,0,유료,5,2021.09.10,13,74,-0.013333333333333334,-0.12941176470588237,-0.033373507297655904,0.014184397163120567,0.0048769077817315595,286,31,나의 카자흐스탄,True,1
31,0,유료,3,2021.09.15,12,80,0.08108108108108109,-0.047619047619047616,-0.010162060556797397,-0.0070921985815602835,-0.00036784746302368464,280,32,변화의 바람,True,1
32,0,유료,3,2021.09.16,13,77,-0.0375,0.013157894736842105,0.004272463252726412,-0.09454545454545454,-0.021840745132729867,249,33,카자흐스탄에서 온 남자,True,1
33,0,유료,2,2021.09.17,13,77,0.0,0.02666666666666667,0.007561936936936938,-0.026717557251908396,-0.003998466929005878,255,34,부가티를 타는 법,True,1
34,0,유료,6,2021.09.18,13,74,-0.03896103896103896,0.0,0.0011550105300105334,-0.16433566433566432,-0.04258550479758843,239,35,쿠마에의 무녀,True,1
35,0,유료,4,2021.09.19,13,75,0.013513513513513514,-0.0625,-0.01573688136188136,-0.08571428571428572,-0.0195583227745905,256,36,금광상,True,1
36,0,유료,2,2021.09.20,12,78,0.04,0.012987012987012988,0.0036381186381186387,-0.07228915662650602,-0.01629381384601907,231,37,황금광 시대,True,1
37,0,유료,2,2021.09.21,13,78,0.0,0.012987012987012988,0.0036381186381186387,-0.043137254901960784,-0.008248646162297172,244,38,위기와 기회,True,1
38,0,유료,13,2021.09.22,12,83,0.0641025641025641,0.12162162162162163,0.029404019404019405,0.0794979079497908,0.021781890642588717,258,39,걸리버 주식 매각,True,1
39,0,유료,7,2021.09.22,13,81,-0.024096385542168676,0.08,0.020001544640098855,0.0234375,0.007875432856594103,262,40,변혁의 관문,True,1
40,0,유료,2,2021.09.23,12,75,-0.07407407407407407,-0.038461538461538464,-0.00851697387841966,0.09523809523809523,0.023701709097052114,253,41,철의 여인,True,1
41,0,유료,3,2021.09.24,12,74,-0.013333333333333334,-0.05128205128205128,-0.011850307211752995,0.0,0.0007391643953769764,244,42,신세계로의 초대,True,1
42,0,유료,5,2021.09.25,13,73,-0.013513513513513514,-0.12048192771084337,-0.0312543266157724,-0.03488372093023256,-0.008482147080032861,249,43,플루토스,True,1
43,0,유료,11,2021.09.26,13,74,0.0136986301369863,-0.08641975308641975,-0.021805572695983655,-0.05725190839694656,-0.014366148200794978,247,44,해운대,True,1
44,0,유료,4,2021.09.27,13,76,0.02702702702702703,0.013333333333333334,0.00346970257929162,-0.03557312252964427,-0.008814799188216555,244,45,할로윈,True,1
45,0,유료,2,2021.09.28,13,77,0.013157894736842105,0.04054054054054054,0.01009250959683548,-0.05327868852459016,-0.013241190686953029,231,46,분기점,True,1
46,0,유료,4,2021.09.28,13,74,-0.03896103896103896,0.0136986301369863,0.0037306282349541184,0.028112449799196786,0.008692135549651897,256,47,목소리,True,1
47,0,유료,7,2021.09.29,13,78,0.05405405405405406,0.05405405405405406,0.013819484214221057,0.05668016194331984,0.01558298017816595,261,48,졸업,True,1
48,0,유료,4,2021.09.30,12,78,0.0,0.02631578947368421,0.0070627274574643,0.0778688524590164,0.020535126237390053,263,49,한국제철,True,1
49,0,유료,3,2021.10.01,13,78,0.0,0.012987012987012988,0.0037732537732537742,-0.004329004329004329,0.0024859770757619283,230,50,로이 힐,True,1
50,0,유료,3,2021.10.02,12,77,-0.01282051282051282,0.04054054054054054,0.01030838530838531,-0.11328125,-0.027831169545732518,227,51,제네시스,True,1
51,0,유료,5,2021.10.02,13,75,-0.025974025974025976,-0.038461538461538464,-0.0096986346986347,-0.10344827586206896,-0.02500473094441093,234,52,인디고 블루,True,1
52,0,유료,3,2021.10.03,13,76,0.013333333333333334,-0.02564102564102564,-0.006365301365301366,-0.1444866920152091,-0.03653582437205608,225,53,"회장, 강수찬",True,1
53,0,유료,7,2021.10.04,13,74,-0.02631578947368421,-0.05128205128205128,-0.012944248733722418,0.021739130434782608,0.005944108031830689,235,54,롤스로이스를 타는 법,True,1
54,0,유료,6,2021.10.05,13,70,-0.05405405405405406,-0.09090909090909091,-0.023252634042107728,0.05286343612334802,0.013460296745984254,239,55,명당,True,1
55,0,유료,5,2021.10.06,12,69,-0.014285714285714285,-0.08,-0.020330556120029805,0.03418803418803419,0.0088891209584702,242,56,스마트 마이닝,True,1
56,0,유료,8,2021.10.06,12,71,0.028985507246376812,-0.06578947368421052,-0.016417512641768935,-0.06222222222222222,-0.013520287814574936,211,57,오벨리스크,True,1
57,0,유료,4,2021.10.07,12,67,-0.056338028169014086,-0.0945945945945946,-0.023923072315601403,-0.07659574468085106,-0.017522394186349554,217,58,피자데이,True,1
58,0,유료,2,2021.10.08,13,65,-0.029850746268656716,-0.07142857142857142,-0.01787224536925207,-0.11715481171548117,-0.02869015573159909,211,59,미스터 사토시,True,1
59,0,유료,5,2021.10.09,13,65,0.0,-0.057971014492753624,-0.014300816797823496,-0.23140495867768596,-0.06144908412597534,186,60,엔체인,True,1
60,0,유료,3,2021.10.10,13,72,0.1076923076923077,0.014084507042253521,0.005375883313659223,-0.009478672985781991,0.0014896877570780634,209,61,100만 비트,True,1
61,0,유료,5,2021.10.11,12,70,-0.027777777777777776,0.04477611940298507,0.0125159459114683,-0.10599078341013825,-0.023561900714315846,194,62,오션뷰,True,1
62,0,유료,8,2021.10.12,13,64,-0.08571428571428572,-0.015384615384615385,-0.0014499389499389483,-0.07582938388625593,-0.015360798524188049,195,63,제네시스 제로,True,1
63,0,유료,7,2021.10.13,12,66,0.03125,0.015384615384615385,0.006362561050061052,-0.026881720430107527,-0.0036886633923372755,181,64,드링킹 워터,True,1
64,0,유료,4,2021.10.14,13,59,-0.10606060606060606,-0.18055555555555555,-0.04707566738816739,-0.07655502392344497,-0.018028056251601816,193,65,파미르 하이웨이,True,1
65,0,유료,2,2021.10.15,13,61,0.03389830508474576,-0.12857142857142856,-0.0316566466725365,-0.14948453608247422,-0.036354902571357865,165,66,자동차 전문기자,True,1
66,0,유료,4,2021.10.16,13,65,0.06557377049180328,0.015625,0.006165367378985747,-0.03076923076923077,-0.0012799260015359387,189,67,빅 블루오션,True,1
67,0,유료,4,2021.10.17,13,66,0.015384615384615385,0.0,0.0021990212251395934,-0.027624309392265192,-0.0005269752485851861,176,68,새로운 투자,True,1
68,0,유료,5,2021.10.18,12,62,-0.06060606060606061,0.05084745762711865,0.013562657588775956,-0.09844559585492228,-0.019942469974853393,174,69,포스 마줄,True,1
69,0,유료,7,2021.10.19,12,64,0.03225806451612903,0.04918032786885246,0.013152597446621773,0.024242424242424242,0.009143052030983066,169,70,아타카마의 거인,True,1
70,0,유료,3,2021.10.20,13,63,-0.015625,-0.03076923076923077,-0.007147095176329048,-0.14814814814814814,-0.03905490385928052,161,71,유레카,True,1
71,0,유료,4,2021.10.21,13,62,-0.015873015873015872,-0.06060606060606061,-0.014961502990736862,-0.0625,-0.015647956539289718,165,72,세상의 끝,True,1
72,0,유료,2,2021.10.22,13,60,-0.03225806451612903,-0.03225806451612903,-0.007874503968253968,-0.022988505747126436,-0.005231289872623052,170,73,엘 모로 프로젝트,True,1
