author,avg_serial_week,check_count,ending,favorite,id,letter,link,period,recommendation,serial_last,serial_start,serial_time,source,title,version,view,view_per_date,recommendation_per_date,letter_per_date,favorite_per_date,view_per_serial,recommendation_per_serial,letter_per_serial,favorite_per_serial
수색영장,6.2,0,연재작,9666,33,668460,https://novel.munpia.com/276206,87,42991,2021.11.08 12:00,2021.08.13 18:00,119,문피아_유료,K맛 소드마스터의 귀환,1,2014584,23156.137931034482,494.14942528735634,7683.448275862069,111.10344827586206,16929.277310924368,361.2689075630252,5617.310924369748,81.22689075630252
별빛꿈,7.2,0,연재작,2498,34,349361,https://novel.munpia.com/285591,7,9135,2021.11.08 12:00,2021.11.01 11:00,63,문피아_유료,조선은 내가 찜했습니다,1,452371,64624.42857142857,1305.0,49908.71428571428,356.85714285714283,7180.492063492064,145.0,5545.412698412699,39.65079365079365
단열,6.9,0,연재작,14126,35,424358,https://novel.munpia.com/285756,10,43348,2021.11.08 12:00,2021.10.29 11:00,58,문피아_유료,환생 폭군은 살고 싶다,1,1664679,166467.9,4334.8,42435.8,1412.6,28701.362068965518,747.3793103448276,7316.517241379311,243.55172413793105
반고르,6.8,0,연재작,3355,36,572613,https://novel.munpia.com/278667,31,15973,2021.11.08 11:58,2021.10.08 11:00,103,문피아_유료,대놓고 역적질하는 천재 빌런,1,540862,17447.16129032258,515.258064516129,18471.387096774193,108.2258064516129,5251.0873786407765,155.07766990291262,5559.349514563107,32.57281553398058
전장범,8.0,0,연재작,11981,37,707243,https://novel.munpia.com/280456,56,51112,2021.11.08 11:50,2021.09.13 20:00,117,문피아_유료,철혈의 재벌,1,2223164,39699.357142857145,912.7142857142857,12629.339285714286,213.94642857142858,19001.40170940171,436.85470085470087,6044.811965811966,102.4017094017094
글로틴,6.5,0,연재작,4453,38,470639,https://novel.munpia.com/283154,34,19317,2021.11.08 11:50,2021.10.05 12:00,75,문피아_유료,300년만에 돌아온 용사,1,850046,25001.352941176472,568.1470588235294,13842.323529411764,130.97058823529412,11333.946666666667,257.56,6275.1866666666665,59.373333333333335
오수정,6.9,0,연재작,5741,39,674735,https://novel.munpia.com/278996,59,24241,2021.11.08 11:47,2021.09.10 16:00,104,문피아_유료,골을 넣는 스트라이커,1,1084479,18381.0,410.864406779661,11436.186440677966,97.30508474576271,10427.682692307691,233.08653846153845,6487.836538461538,55.20192307692308
두눈뜬왕,6.1,0,연재작,3624,40,982537,https://novel.munpia.com/263026,133,26726,2021.11.08 11:40,2021.06.28 10:00,178,문피아_유료,티무르 사용 설명서,1,589186,4429.9699248120305,200.94736842105263,7387.496240601504,27.24812030075188,3310.0337078651687,150.14606741573033,5519.8707865168535,20.359550561797754
피아노빌런,5.8,0,연재작,2427,41,1187912,https://novel.munpia.com/265767,118,12011,2021.11.08 11:20,2021.07.13 11:00,173,문피아_유료,현질해서 발롱도르까지,1,572684,4853.254237288135,101.78813559322033,10067.050847457627,20.56779661016949,3310.3121387283236,69.42774566473989,6866.543352601156,14.028901734104046
전율,7.4,0,연재작,5776,42,535484,https://novel.munpia.com/280862,55,26334,2021.11.08 11:15,2021.09.14 11:00,105,문피아_유료,거포 유격수가 장타력을 숨김,1,1205233,21913.327272727274,478.8,9736.072727272727,105.01818181818182,11478.409523809523,250.8,5099.847619047619,55.00952380952381
진사위건,4.3,0,연재작,91,43,1121009,https://novel.munpia.com/271125,146,177,2021.11.08 11:14,2021.06.15 18:00,180,문피아_유료,사신 [진사위건-게임 소설],1,11038,75.6027397260274,1.2123287671232876,7678.143835616438,0.6232876712328768,61.32222222222222,0.9833333333333333,6227.827777777778,0.5055555555555555
왕고릴라,1.8,0,연재작,2058,44,539006,https://novel.munpia.com/262745,130,9075,2021.11.08 11:07,2021.07.01 06:00,98,문피아_유료,천재재벌이 되는 꼴통 회귀자,1,471851,3629.623076923077,69.8076923076923,4146.2,15.830769230769231,4814.806122448979,92.60204081632654,5500.061224489796,21.0
이온,6.3,0,연재작,3520,45,531994,https://novel.munpia.com/277971,62,15362,2021.11.08 11:05,2021.09.07 11:00,102,문피아_유료,북해빙궁 역대급 천재,1,930031,15000.5,247.7741935483871,8580.548387096775,56.774193548387096,9117.950980392157,150.6078431372549,5215.6274509803925,34.509803921568626
유려한,2.9,0,연재작,62176,46,5085759,https://novel.munpia.com/113612,1259,1142799,2021.11.08 11:00,2018.05.29 10:30,767,문피아_유료,백작가의 망나니가 되었다,1,24968730,19832.19221604448,907.703733121525,4039.522637013503,49.38522637013503,32553.754889178617,1489.9595827900912,6630.715775749674,81.0638852672751
SSDHDD,7.1,0,연재작,13047,47,3609103,https://novel.munpia.com/194677,567,118803,2021.11.08 11:00,2020.04.20 15:00,622,문피아_유료,재벌 3세는 조용히 살고 싶다,1,5256063,9269.952380952382,209.52910052910053,6365.26102292769,23.01058201058201,8450.262057877813,191.0016077170418,5802.416398713826,20.975884244372992
차제이,7.1,0,연재작,1573,48,1455756,https://novel.munpia.com/257798,179,9396,2021.11.08 11:00,2021.05.13 11:00,230,문피아_유료,신통한 검사 나으리,1,510817,2853.72625698324,52.49162011173184,8132.715083798883,8.787709497206704,2220.9434782608696,40.85217391304348,6329.373913043478,6.839130434782609
진용영,4.6,0,연재작,2164,49,842431,https://novel.munpia.com/257799,153,12380,2021.11.08 11:00,2021.06.08 11:00,160,문피아_유료,선조대왕 만만세,1,628317,4106.64705882353,80.91503267973856,5506.084967320261,14.143790849673202,3926.98125,77.375,5265.19375,13.525
